Tên	STT	Loại	Dân số (người)	Diện tích (km2)	Mật độ (người/km2)	Sáp nhập toàn bộ từ	Sáp nhập một phần từ	Giáp ranh	Full Address 1	Latitude 1	Longitude 1	SĐT
Xuyên Mộc	168	Xã	26917	102.96	261.43	Xã Bông Trang, Xã Xuyên Mộc, Xã Bưng Riềng (H. Xuyên Mộc)		xã Bình Châu, xã Hoà Hội, xã Hồ Tràm và Biển Đông	Quốc lộ 55, ấp Trang Hoàng, xã Xuyên Mộc	10.5532506	107.4554749	02543878337
Tân Hải	123	Phường	30297	51.86	584.17	Phường Tân Hoà (TP. Phú Mỹ), Phường Tân Hải (TP. Phú Mỹ)		phường Long Hương, phường Tân Phước, xã Châu Pha và xã Long Sơn	QL 51, thôn Láng Cát, phường Tân Hải	10.49995535	107.1026123	02543890517
Châu Pha	51	Xã	25438	65.64	387.52	Xã Tóc Tiên (TP. Phú Mỹ), Xã Châu Pha (TP. Phú Mỹ)		phường Long Hương, phường Tân Hải, phường Tân Phước, phường Phú Mỹ, phường Tân Thành, xã Ngãi Giao và xã Nghĩa Thành	Thôn Tân Lễ B, xã Châu pha	10.5735425	107.160176	02543897552
Tân Thành	137	Phường	33943	61.63	550.79	Phường Hắc Dịch (TP. Phú Mỹ), Xã Sông Xoài (TP. Phú Mỹ)		phường Phú Mỹ, xã Châu Pha, xã Ngãi Giao, xã Kim Long, xã Châu Đức và tỉnh Đồng Nai	Số 152, đường Bình Giã, phường Tân Thành	10.641694	107.1216848	02543898433
Tân Phước	131	Phường	29363	83.62	351.15	Phường Tân Phước (TP. Phú Mỹ), Phường Phước Hoà (TP. Phú Mỹ)		phường Phú Mỹ, phường Tân Hải, xã Châu Pha, xã Thạnh An và Biển Đông	Số 2102, Đường Độc lập, phường Tân Phước	10.5645955	107.0592875	02543936003
Hoà Lợi	74	Phường	79694	33.59	2372.58	Phường Tân Định (TP. Bến Cát), Phường Hoà Lợi (TP. Bến Cát)		phường Vĩnh Tân, phường Bình Dương, phường Thới Hoà, phường Phú An, phường Chánh Hiệp và phường Chánh Phú Hoà	Số 353, đường Nguyễn Văn Thành, phường Hòa Lợi	11.1015568	106.6631442	02743560367
Tân Khánh	127	Phường	126393	38.23	3306.02	Xã Thạnh Hội (TP. Tân Uyên), Phường Thạnh Phước (TP. Tân Uyên), Phường Tân Phước Khánh (TP. Tân Uyên), Phường Tân Vĩnh Hiệp (TP. Tân Uyên)	Phường Thái Hoà (TP. Tân Uyên)	phường Tân Uyên, phường Bình Dương, phường Phú Lợi, phường Thuận Giao, phường Tân Đông Hiệp, phường An Phú, phường Tân Hiệp và tỉnh Đồng Nai	Đường ĐT746, phường Tân Khánh	11.0034677	106.7211887	02743612344
Bắc Tân Uyên	14	Xã	27964	143.69	194.61	Xã Đất Cuốc (H. Bắc Tân Uyên), Xã Tân Định (H. Bắc Tân Uyên), Thị trấn Tân Thành (H. Bắc Tân Uyên)		xã Thường Tân, xã Phước Hoà, xã Phú Giáo, phường Tân Uyên, phường Bình Cơ và tỉnh Đồng Nai	Khu phố 5, xã Bắc Tân Uyên	11.127367	106.851528	02743620260
Bình Cơ	23	Phường	64601	73.69	876.66	Xã Bình Mỹ (H. Bắc Tân Uyên), Phường Hội Nghĩa (TP. Tân Uyên)		phường Tân Uyên, phường Vĩnh Tân, phường Tân Hiệp, xã Bắc Tân Uyên, xã Phước Hoà	Đường ĐT747A, phường Bình Cơ	11.1082081	106.7599195	02743648464
Tân Uyên	140	Phường	73032	94.67	771.46	Phường Uyên Hưng (TP. Tân Uyên), Xã Bạch Đằng (TP. Tân Uyên), Xã Tân Lập (H. Bắc Tân Uyên)	Xã Tân Mỹ (H. Bắc Tân Uyên)	phường Tân Khánh, phường Tân Hiệp, phường Bình Cơ, xã Bắc Tân Uyên, xã Thường Tân và tỉnh Đồng Nai	Khu phố 1, phường Tân Uyên	11.06109777	106.7988538	02743686970
Thuận An	154	Phường	64689	16.11	4015.46	Phường Hưng Định (TP. Thuận An), Phường An Thạnh (TP. Thuận An), Xã An Sơn (TP. Thuận An)		phường Thuận Giao, phường Lái Thiêu, phường Phú Lợi, phường Thủ Dầu Một, xã Bình Mỹ và xã Đông Thạnh	Số 289, đường Hưng Định 31, phường Thuận An	10.9398132	106.6915147	02743746374
